"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000182952",876.070312038968,-0.287440073901408,0.105926156015288,-2.71358920888173,0.00665586447435493,0.0468735283273537
"ENSG00000182957",461.46345208903,0.533461912992947,0.191728570106695,2.78238090805184,0.00539616657009644,0.0398758471989035
"ENSG00000183010",240.376936379501,0.689089759204772,0.228939435739928,3.00992162830159,0.00261315107592898,0.0229515183110303
"ENSG00000183023",914.500521966261,0.814260001224892,0.262046769479933,3.10730791622007,0.00188799634949234,0.0175969970688642
"ENSG00000183044",498.690421563468,-1.15804232995104,0.0969897819698747,-11.9398384698991,7.33655323408188e-33,8.02057893267128e-30
"ENSG00000183049",315.306904848783,0.775429725702966,0.152719153960849,5.07748835422277,3.82456941033636e-07,1.18072462609803e-05
"ENSG00000183092",4.67312382142816,3.37269157881297,1.08333163359369,3.11325864973118,0.00185033779402638,0.0173555850006238
"ENSG00000183160",2987.67071981722,1.16914762377728,0.112145760160906,10.4252503358112,1.90157919231974e-25,9.81690258035067e-23
"ENSG00000183287",6313.41132312804,-0.61378249930087,0.167117900884932,-3.67275136924731,0.000239952923359544,0.0032670513411261
"ENSG00000183291",3197.19917433687,-0.400624768569609,0.120800920544448,-3.31640493105515,0.000911836049607686,0.00982404230838194
"ENSG00000183454",5.80417114112773,4.35970435156812,1.20931323777805,3.60510760601486,0.000312023615629667,0.0040555013132876
"ENSG00000183496",171.526821513788,1.63570702327384,0.387752962748239,4.21842559675263,2.46014124149046e-05,0.000468940768954875
"ENSG00000183508",90.0360052786607,2.46777777847951,0.333875039682592,7.39132155798643,1.4537656733553e-13,1.83797517274205e-11
"ENSG00000183621",496.401922215464,-0.704595397278919,0.152673249253143,-4.61505470490543,3.92991787613506e-06,9.39993870372845e-05
"ENSG00000183655",136.044456552842,-0.648029605714223,0.189345145355963,-3.42247805982005,0.000620531055511754,0.00718988133833289
"ENSG00000183666",113.758790692083,0.451811268253898,0.165994855932976,2.72183897334943,0.00649197672383597,0.0460509112261418
"ENSG00000183688",1153.09663673123,-0.769466118349562,0.206934744538307,-3.71839982728044,0.000200488765983172,0.00279946184507683
